,score,label
200,0.6064035892486572,2
4885,0.4628802239894867,2
4086,0.6694760322570801,1
14444,0.4628802239894867,2
10115,0.7827893495559692,4
4423,0.6895554065704346,0
1885,0.6419574618339539,0
6567,0.5428991317749023,0
1206,0.772529125213623,1
1739,0.44655895233154297,0
2151,0.7304905652999878,0
3739,0.5409274101257324,0
8564,0.3823295831680298,2
3002,0.250417023897171,3
1537,0.7882406115531921,0
205,0.7211343050003052,0
2901,0.7910075187683105,0
12800,0.6773261427879333,0
2949,0.6973527073860168,2
3331,0.3816012442111969,1
7252,0.6867751479148865,4
2392,0.3823295831680298,2
3751,0.37514570355415344,2
7491,0.4832960367202759,0
1454,0.8887681365013123,4
7306,0.7791880965232849,1
10599,0.5182384252548218,1
7321,0.4102775454521179,2
4217,0.4718562662601471,0
12114,0.7708881497383118,0
9277,0.7678436040878296,0
3933,0.8372654914855957,0
2583,0.48805519938468933,1
7173,0.39230799674987793,3
3610,0.250417023897171,3
5567,0.382329523563385,2
3568,0.604807436466217,2
7916,0.5542759895324707,0
7074,0.4628802239894867,2
8335,0.6773260831832886,0
5450,0.3914099633693695,2
13159,0.6077558398246765,0
13888,0.250417023897171,3
455,0.6123181581497192,0
4341,0.44312864542007446,2
3987,0.5182384252548218,1
6579,0.8214107751846313,4
3326,0.4674961566925049,3
3811,0.250417023897171,3
8269,0.3515302240848541,2
2213,0.382329523563385,2
4148,0.4049992561340332,2
6353,0.7593287229537964,4
8012,0.7803178429603577,0
2071,0.382329523563385,2
7271,0.250417023897171,3
8561,0.6942684054374695,2
11423,0.7678436040878296,0
2478,0.382329523563385,2
6312,0.4628802239894867,2
1846,0.4408301115036011,1
784,0.7191315293312073,0
3510,0.36930346488952637,1
1051,0.6028862595558167,0
3096,0.7025573253631592,0
7594,0.6773260831832886,0
7274,0.8497199416160583,1
