,score,label
3110,0.8153330087661743,0
5622,0.41027718782424927,2
5568,0.5182380676269531,1
10344,0.661054790019989,2
8061,0.5324422717094421,0
6794,0.49003589153289795,1
5035,0.4820442199707031,3
6194,0.3823295831680298,2
3724,0.6064035892486572,2
4858,0.44562438130378723,0
6806,0.745446503162384,0
6381,0.7678434252738953,0
3306,0.4140467643737793,4
12781,0.576064944267273,0
3318,0.4494040906429291,1
14066,0.250417023897171,3
8998,0.7753809690475464,0
4554,0.7297511696815491,4
9424,0.5408079624176025,0
6830,0.5637528300285339,4
3242,0.8610867261886597,4
6064,0.5182380676269531,1
8607,0.6266824007034302,0
5027,0.44493013620376587,0
2354,0.7177574634552002,2
3907,0.4494040906429291,1
12821,0.6604980230331421,0
4485,0.5455277562141418,0
3884,0.6002165079116821,2
6039,0.46020951867103577,1
2435,0.64090496301651,4
2981,0.5527516603469849,0
10255,0.4628802239894867,2
8944,0.250417023897171,3
2769,0.7492502927780151,0
2364,0.5182380676269531,1
5930,0.4647769033908844,3
492,0.5798888206481934,1
3150,0.6960445046424866,0
2426,0.7165201902389526,0
2942,0.33973005414009094,3
8821,0.592365562915802,0
4722,0.4628802239894867,2
3311,0.5182380676269531,1
2812,0.5339637994766235,3
6285,0.7223284244537354,0
4890,0.7841388583183289,4
26067,0.42746037244796753,1
3692,0.8256096243858337,1
2869,0.5435808300971985,2
4033,0.576064944267273,0
10162,0.250417023897171,3
1934,0.4582480490207672,0
6812,0.8158482313156128,4
5886,0.4533376395702362,2
5852,0.41027718782424927,2
18757,0.8870033621788025,4
2838,0.5182380676269531,1
8083,0.6461480259895325,0
7356,0.6989690661430359,0
3212,0.5549841523170471,0
2965,0.7961152791976929,0
6434,0.250417023897171,3
1734,0.4972240924835205,1
2680,0.43531879782676697,1
6487,0.5117911696434021,3
4610,0.5107808709144592,2
7149,0.35802730917930603,2
2964,0.8785357475280762,4
864,0.3823295831680298,2
9445,0.7678434252738953,0
2898,0.5113040804862976,2
8558,0.7428302764892578,0
10485,0.4341180920600891,2
4465,0.42394161224365234,4
6507,0.8056961894035339,4
6354,0.4628802239894867,2
2952,0.7753809690475464,0
9881,0.5182380676269531,1
4148,0.6688565611839294,0
2076,0.7142856121063232,0
15842,0.5964284539222717,0
19505,0.6773261427879333,0
4487,0.5182556509971619,2
2972,0.817379891872406,4
8863,0.584071934223175,0
3284,0.250417023897171,3
13086,0.827802300453186,4
7551,0.6088350415229797,4
3382,0.5182380676269531,1
7336,0.3823295831680298,2
1312,0.7678434252738953,0
3185,0.6141745448112488,1
2754,0.5182380676269531,1
457,0.5182380676269531,1
7605,0.250417023897171,3
4308,0.6899649500846863,0
7648,0.5405039191246033,2
9476,0.8257782459259033,0
5745,0.7952394485473633,1
5087,0.3823295831680298,2
6640,0.26546069979667664,3
19613,0.9423428773880005,4
8288,0.41027718782424927,2
5158,0.6471712589263916,0
7240,0.6670843362808228,0
3037,0.7712423801422119,0
4995,0.6159886717796326,4
2194,0.7292594313621521,0
12946,0.250417023897171,3
7573,0.7563889622688293,1
5949,0.33757349848747253,2
6584,0.7062076926231384,0
2311,0.667644202709198,0
4828,0.5916222929954529,0
2930,0.6820680499076843,0
991,0.6433157324790955,0
1518,0.5371143817901611,1
1089,0.6666398644447327,1
4605,0.5543057322502136,1
4356,0.5440350770950317,2
9797,0.5246397852897644,0
5320,0.49539318680763245,1
5013,0.4263872802257538,4
3967,0.600720226764679,0
4981,0.7869977951049805,0
5848,0.4413389563560486,2
3023,0.42930087447166443,1
2497,0.250417023897171,3
1166,0.38913893699645996,1
3749,0.5684724450111389,1
967,0.6865441799163818,0
4113,0.7790598273277283,4
2951,0.5147948265075684,0
1759,0.5458459258079529,0
